x,y,z,ln_permea
44,36,0,-12.1538868
44,36,1,-12.3433418
44,36,2,-12.943327
44,36,3,-11.9597998
44,36,4,-11.27318
44,36,5,-11.9448776
44,36,6,-12.1214657
44,36,7,-11.1009483
44,36,8,-10.9764547
44,36,9,-11.2653656
44,36,10,-11.6838379
44,36,15,-10.0293131
44,36,16,-10.3560486
44,36,17,-9.91963673
44,36,18,-9.3705349
44,36,19,-8.82828236
44,36,20,-9.08336353
54,74,0,-10.0099773
54,74,1,-9.9048233
54,74,2,-9.9380827
54,74,3,-10.2185183
54,74,4,-10.5756741
54,74,5,-9.37600422
54,74,6,-8.913764
54,74,7,-8.19293404
54,74,8,-7.88102961
54,74,9,-9.63454437
54,74,10,-10.4971323
54,74,15,-10.6963348
54,74,16,-10.0980577
54,74,17,-10.2270384
54,74,18,-10.6241207
54,74,19,-10.2913265
54,74,20,-9.9954977
50,64,0,-10.3033133
50,64,1,-9.96669483
50,64,2,-10.0241728
50,64,3,-10.3764725
50,64,4,-9.84164333
50,64,5,-10.4001093
50,64,6,-9.66421127
50,64,7,-9.69725704
50,64,8,-10.808466
50,64,9,-9.7818985
50,64,10,-8.59265137
50,64,15,-10.1923943
50,64,16,-10.2594805
50,64,17,-9.85538101
50,64,18,-9.52699375
50,64,19,-9.71216106
50,64,20,-9.06260872
76,12,0,-9.86705494
76,12,1,-9.31542492
76,12,2,-9.58277988
76,12,3,-9.24414158
76,12,4,-10.6727161
76,12,5,-11.4612465
76,12,6,-10.9854565
76,12,7,-10.2988739
76,12,8,-9.47881317
76,12,9,-10.2298145
76,12,10,-10.598546
76,12,15,-9.72349262
76,12,16,-9.25983143
76,12,17,-9.0230732
76,12,18,-9.41731739
76,12,19,-10.4001303
76,12,20,-12.0247917
20,80,0,-9.67910862
20,80,1,-10.6639299
20,80,2,-11.0343227
20,80,3,-10.5433989
20,80,4,-11.5309725
20,80,5,-11.9733267
20,80,6,-11.8773603
20,80,7,-11.4679947
20,80,8,-10.7423601
20,80,9,-10.7900887
20,80,10,-10.2631483
20,80,15,-9.29450321
20,80,16,-9.37925243
20,80,17,-10.2891836
20,80,18,-10.3692226
20,80,19,-9.29174042
20,80,20,-9.53092766
